id,calories,proteins,fat,carbohydrate,name
1,30,0.5,0.2,6.8,anggur
2,58,0.3,0.4,14.9,apel
3,302,18.2,25,0,ayam
4,76,4.1,2.5,9.2,bakso 
5,280,8.2,10.2,39,bakwan
6,60,1,60,13,bubur 
7,258,10.6,9.5,32.5,burger
8,97,5.8,6.3,4.2,capcay
9,265,40.6,10.1,0,cumi
10,134,2.5,3,28,durian
11,210,4,12.5,20.6,es krim
12,53,1.6,1.6,8.8,gudeg 
13,188,19.3,12.2,0,ikan goreng
14,45,0.9,0.2,11.2,jeruk
15,356,20.5,4.1,61.6,kacang
16,83,2,0.1,19.1,kentang
17,350,0.5,0.2,85.9,kerupuk
18,129,12.3,0.5,35,kopi
19,372,7.8,36.3,3.5,lele goreng
20,162,4.9,3,27.8,pempek
21,283,12.1,16.8,20.9,sate
22,285,1,18,28,singkong goreng 
23,42,3.9,1.7,2.8,soto
24,251,16.3,19.4,1.4,telur dadar
25,328,18.4,23.2,12.8,tempe goreng 
